Z49WBL41,158,1,1,0,0
JQ92FM41,163,2,0,0,0
KS6FQN41,153,0,2,0,0
USR9FO41,158,1,1,0,0
13647P41,163,2,0,0,0
NFBKMQ41,158,1,1,0,0
3FCUGR41,158,1,1,0,0
S9D73U41,158,1,1,0,0
UC6LAW41,163,2,0,0,0
5KGZ6Z41,163,2,0,0,0
A8422151,158,1,1,0,0
PJ5HO351,153,0,2,0,0
VJJHA551,158,1,1,0,0
XHV4V951,163,2,0,0,0
2XHLZA51,158,1,1,0,0
4UHQXC51,153,0,2,0,0
78GIHE51,158,1,1,0,0
19FYKF51,158,1,1,0,0
NQZ73G51,158,1,1,0,0
VY565N51,158,1,1,0,0
5NHCMS51,158,1,1,0,0
6ABQ5661,153,0,2,0,0
63ZCU861,153,0,2,0,0
YEUXRF61,153,0,2,0,0
1U59JG61,158,1,1,0,0
314CQI61,153,0,2,0,0
NCFAPL61,153,0,2,0,0
FQTM7Q61,158,1,1,0,0
KO9I6R61,158,1,1,0,0
OQR8LS61,163,2,0,0,0
SNZTMS61,163,2,0,0,0
FWQ1PT61,163,2,0,0,0
XL9ZLV61,158,1,1,0,0
AMTTIX61,163,2,0,0,0
I5AEB171,233,1,2,0,0
JKUEB671,163,2,0,0,0
GGPGL671,153,0,2,0,0
MWOE5871,158,1,1,0,0
DVGC5E71,153,0,2,0,0
S5K4QI71,158,1,1,0,0
CPUUYI71,153,0,2,0,0
4TI1MK71,238,2,1,0,0
3MC3AM71,163,2,0,0,0
CHXJ8M71,158,1,1,0,0
8CC4DP71,153,0,2,0,0
PWTJBR71,158,1,1,0,0
ZQQJ3S71,163,2,0,0,0
V429PT71,158,1,1,0,0
SD4OTT71,158,1,1,0,0
A69IXV71,163,2,0,0,0
FFBT7W71,158,1,1,0,0
Y9HJIX71,153,0,2,0,0
UAY6MY71,238,2,1,0,0
J7CO4181,153,0,2,0,0
Z7BZZ481,158,1,1,0,0
7ACSH581,153,0,2,0,0
N5E5Q681,153,0,2,0,0
2LDLT881,158,1,1,0,0
PWZUM981,238,2,1,0,0
5S4AX981,158,1,1,0,0
GWSXZH81,158,1,1,0,0
P4ZXVJ81,158,1,1,0,0
QX8BJK81,163,2,0,0,0
9PCKWN81,163,2,0,0,0
3Y6TCQ81,158,1,1,0,0
RSG9RQ81,163,2,0,0,0
H7BB7R81,158,1,1,0,0
SVNW4U81,158,1,1,0,0
T49Z5Y81,153,0,2,0,0
4EC9HZ81,158,1,1,0,0
W2JSQZ81,153,0,2,0,0
HEJ9J391,153,0,2,0,0
2NDUR391,233,1,2,0,0
W3ICQ691,153,0,2,0,0
ZHJKH791,153,0,2,0,0
YP99K991,153,0,2,0,0
NSMVJ991,153,0,2,0,0
8C1VIA91,153,0,2,0,0
66J1TD91,158,1,1,0,0
FCFOWF91,163,2,0,0,0
H1Y2VG91,153,0,2,0,0
FP37OJ91,158,1,1,0,0
I9ACWJ91,158,1,1,0,0
ZH4PDR91,153,0,2,0,0
TUHMOT91,158,1,1,0,0
VRL1TZ91,158,1,1,0,0
Z3O8R1A1,153,0,2,0,0
KOCOL5A1,163,2,0,0,0
B4MWT6A1,158,1,1,0,0
IATFI9A1,153,0,2,0,0
1H9GK9A1,163,2,0,0,0
D31BQ9A1,163,2,0,0,0
H5K45BA1,163,2,0,0,0
PG57FEA1,153,0,2,0,0
NY6CUKA1,158,1,1,0,0
3BYFJNA1,158,1,1,0,0
XBYAYSA1,158,1,1,0,0
CV55QUA1,158,1,1,0,0
BMHGOUA1,163,2,0,0,0
FXWAEVA1,158,1,1,0,0
4342CXA1,163,2,0,0,0
XUEYEYA1,158,1,1,0,0
6CKOUYA1,158,1,1,0,0
EITHDZA1,158,1,1,0,0
V5ZUL3B1,158,1,1,0,0
VGSRP3B1,153,0,2,0,0
6KUDB4B1,158,1,1,0,0
GQNN95B1,158,1,1,0,0
JPM3TGB1,153,0,2,0,0
9X5NRHB1,153,0,2,0,0
TPTKNIB1,158,1,1,0,0
U431ZIB1,158,1,1,0,0
G11W6KB1,163,2,0,0,0
89O4ZKB1,158,1,1,0,0
L9F7KMB1,158,1,1,0,0
AITDZNB1,163,2,0,0,0
WFNW4PB1,153,0,2,0,0
ZL4YFQB1,153,0,2,0,0
WMYVNRB1,163,2,0,0,0
4L589UB1,163,2,0,0,0
OTGJHUB1,158,1,1,0,0
PRALUXB1,158,1,1,0,0
JC74Z2C1,158,1,1,0,0
RQMWR6C1,153,0,2,0,0
8LXON7C1,153,0,2,0,0
8SF5W8C1,158,1,1,0,0
566HPDC1,153,0,2,0,0
3H56GFC1,158,1,1,0,0
UD86GNC1,153,0,2,0,0
P3C6TNC1,158,1,1,0,0
FVJ1EOC1,158,1,1,0,0
MDNODVC1,158,1,1,0,0
8MS18XC1,158,1,1,0,0
MN1RFXC1,153,0,2,0,0
D6LBOZC1,153,0,2,0,0
DGLLUZC1,153,0,2,0,0
6O3ZF1D1,158,1,1,0,0
RA7AI1D1,158,1,1,0,0
RMUDR3D1,158,1,1,0,0
8TVGY5D1,158,1,1,0,0
XYF757D1,158,1,1,0,0
UEJS18D1,163,2,0,0,0
VDBIM9D1,158,1,1,0,0
PBYEBAD1,158,1,1,0,0
HGOSWED1,158,1,1,0,0
ERO7BFD1,153,0,2,0,0
YN6E4HD1,158,1,1,0,0
8KLT4ID1,158,1,1,0,0
LUM19KD1,158,1,1,0,0
I33DBPD1,153,0,2,0,0
5L8OYQD1,153,0,2,0,0
24NE2RD1,153,0,2,0,0
GVV84TD1,153,0,2,0,0
4NU59TD1,153,0,2,0,0
TLDSDTD1,158,1,1,0,0
LHE9QTD1,158,1,1,0,0
VBLQNTD1,163,2,0,0,0
4REHMUD1,163,2,0,0,0
IXXO6VD1,163,2,0,0,0
2UPIFWD1,163,2,0,0,0
J4XD2ZD1,158,1,1,0,0
7V7AS1E1,153,0,2,0,0
DGDI52E1,153,0,2,0,0
IWDD53E1,163,2,0,0,0
UL77K3E1,163,2,0,0,0
H6BNH4E1,158,1,1,0,0
UEVKG5E1,158,1,1,0,0
M42NT5E1,163,2,0,0,0
NXA489E1,158,1,1,0,0
FID92CE1,153,0,2,0,0
P3YAGCE1,163,2,0,0,0
O5BUDEE1,153,0,2,0,0
KQILUGE1,158,1,1,0,0
H5YITJE1,153,0,2,0,0
DB22OKE1,163,2,0,0,0
I5WLWLE1,153,0,2,0,0
OL4HZNE1,158,1,1,0,0
2A9F9WE1,158,1,1,0,0
CB4Y8WE1,158,1,1,0,0
ZOZ2UYE1,153,0,2,0,0
7TMOT4F1,163,2,0,0,0
WJLUP6F1,153,0,2,0,0
O1IVU7F1,163,2,0,0,0
SBDMR9F1,163,2,0,0,0
FXTDUBF1,163,2,0,0,0
DZYNYDF1,163,2,0,0,0
F6772HF1,163,2,0,0,0
YFYSBHF1,158,1,1,0,0
TJQMWHF1,153,0,2,0,0
