CRYM1JB4,6,2,2,0,0,1,0,0,0,0
D4UCH5T3,6,2,2,0,0,1,0,0,0,0
DF55KWV2,6,0,0,1,1,1,0,0,0,0
FM5Z4V48,6,0,0,1,1,1,0,0,0,0
H6BSKZU6,6,0,0,0,0,1,0,1,0,0
HLRU2I45,6,0,0,0,2,0,0,0,0,0
JFH84PA8,6,1,1,1,1,0,0,0,0,0
KM6ZB6F5,6,2,2,0,0,1,0,0,0,0
LOFMCCWA,6,0,0,1,1,1,0,0,0,0
LOTBCU5A,6,0,0,1,1,1,0,0,0,0
MAOXB163,6,2,2,0,0,1,0,0,0,0
N8SZQUE9,6,1,1,0,0,2,0,0,0,0
NHMAZ2A5,6,0,0,1,1,1,0,0,0,0
NWXYN663,6,1,1,1,1,0,0,0,0,0
QFEZU6E6,6,0,0,1,1,1,0,0,0,0
QRFVPRX7,6,0,0,1,1,1,0,0,0,0
QSO9ZPWA,6,0,0,1,1,1,0,0,0,0
R8GM79R4,6,0,0,1,1,1,0,0,0,0
RK18GTI6,6,0,0,1,1,1,0,0,0,0
U12HD2U9,6,0,0,0,0,1,1,0,0,0
UEYJF8F4,6,1,1,1,1,0,0,0,0,0
UIDMCMDA,6,1,1,1,1,0,0,0,0,0
UPCU33G5,6,0,0,1,1,1,0,0,0,0
UQ8MYO9A,6,0,0,1,1,1,0,0,0,0
XE1A4I17,6,0,0,1,1,1,0,0,0,0
YK8TFGRA,6,1,1,1,1,0,0,0,0,0
YKGXUK93,6,2,2,0,0,1,0,0,0,0
