2ZFU5J4L,250,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1
31L9M9D5,244,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
32GDW5A1,244,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
39APN7FA,277,1,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
39USV4J3,247,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
3ADZA7ZH,253,1,2,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0
3AEHQ7LM,248,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
3AUEB3L6,244,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3B1O4EUD,247,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0
3B6B913M,244,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
3DQYOZZ3,244,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
3F57J3LE,243,0,2,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
3I2E13JC,244,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
3I9GKEA2,255,0,2,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1
3IZCXZV2,273,0,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3J4BGJ1F,262,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3PKQ5924,249,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
3QI5B4O4,275,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3R35C6I1,244,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
3SB41CM9,243,1,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
3UI71MN3,242,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
3V4FNWJE,242,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
3W2YCCQH,242,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3XJ8J6H5,245,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
417KIB6A,243,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
435CRGQ6,246,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1
43T1IE38,243,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
443RFFLK,252,0,2,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0
45QWQBR3,245,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
46UHUDGL,248,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0
46W6DUXA,262,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46X4MANI,248,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
47U5W3V9,263,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
48NDDXS2,243,1,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
497XECRH,251,1,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1
4B7CQ3TG,246,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4BBYKK73,273,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
4BDR9MTF,268,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4BOH9FJ6,245,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
4DMVFSSC,249,0,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
4EOHH26C,245,2,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
4FQJ8N6I,244,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
4I1DFHRB,249,2,2,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1
4IDTLJR9,242,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1
4IXZ1CX6,248,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
4JEKELGH,249,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
4LD32WM4,270,1,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4LDPGSCE,245,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
4R2AFSVK,256,1,2,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1
4SWY54YD,245,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
4XGDGY8N,277,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
4YDHR3S9,249,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
521CWWVL,247,1,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
54O8E1XD,286,2,2,0,0,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0
54YAAVT1,251,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
567XNH23,246,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
59K7NWWJ,248,2,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0
5AK8UBU4,270,1,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5E3MW5AB,248,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
5EH5OS16,247,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
5EHYGCWH,262,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1
5EM3GX33,242,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
5G8OUW4I,273,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
